,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
20,21.01.2015,"1,5 °C","Min. 00:00-2,1 °C","Max. 14:353,5 °C",84 %,Min. 21:5579 %,Max. 01:1094 %,"1011,6 hPa","Min. 16:001010,2 hPa","Max. 00:001013,7 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,4 km/h (1 Bft)","Max. 18:408,4 km/h (2 Bft)",O-NO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-1,0 °C","Max. 14:350,6 °C","Min. 00:00-3,1 °C","1,5 °C","Max. 14:353,5 °C","Min. 00:00-2,1 °C","6,5 km/h (2 Bft)","Max. 18:4020,9 km/h (4 Bft)"
21,22.01.2015,"2,4 °C","Min. 21:051,8 °C","Max. 00:203,0 °C",83 %,Min. 00:0079 %,Max. 21:1089 %,"1014,1 hPa","Min. 01:451010,8 hPa","Max. 23:151018,7 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,2 km/h (1 Bft)","Max. 02:155,0 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-0,2 °C","Max. 21:100,3 °C","Min. 04:50-0,7 °C","2,4 °C","Max. 00:002,9 °C","Min. 19:351,9 °C","6,1 km/h (2 Bft)","Max. 02:1517,7 km/h (3 Bft)"
22,23.01.2015,"1,9 °C","Min. 23:50-1,6 °C","Max. 13:103,2 °C",87 %,Min. 13:2083 %,Max. 23:5592 %,"1022,8 hPa","Min. 00:001018,7 hPa","Max. 20:001025,7 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,6 km/h (0 Bft)","Max. 13:202,7 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-0,0 °C","Max. 19:400,9 °C","Min. 23:50-2,9 °C","1,9 °C","Max. 13:103,2 °C","Min. 23:50-1,6 °C","3,9 km/h (1 Bft)","Max. 05:4011,3 km/h (2 Bft)"
23,24.01.2015,"-0,2 °C","Min. 04:20-3,2 °C","Max. 14:102,2 °C",92 %,Min. 14:2582 %,Max. 22:4595 %,"1023,1 hPa","Min. 14:051020,4 hPa","Max. 23:551025,8 hPa","0,2 l/m²","Max. 20:150,2 l/m²","0,1 km/h (0 Bft)","Max. 10:252,6 km/h (1 Bft)",W-SW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-1,4 °C","Max. 22:550,1 °C","Min. 04:20-4,2 °C","-0,2 °C","Max. 14:102,2 °C","Min. 04:20-3,2 °C","1,3 km/h (1 Bft)","Max. 10:309,7 km/h (2 Bft)"
24,25.01.2015,"1,5 °C","Min. 02:40-0,6 °C","Max. 14:303,4 °C",94 %,Min. 14:5591 %,Max. 13:15100 %,"1029,5 hPa","Min. 00:001025,7 hPa","Max. 10:551031,5 hPa","2,6 l/m²","Max. 10:500,2 l/m²","0,4 km/h (0 Bft)","Max. 12:503,3 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"0,6 °C","Max. 13:152,5 °C","Min. 02:45-1,4 °C","1,5 °C","Max. 14:303,4 °C","Min. 02:45-0,6 °C","2,3 km/h (1 Bft)","Max. 14:208,0 km/h (2 Bft)"
25,26.01.2015,"1,3 °C","Min. 05:150,6 °C","Max. 13:252,2 °C",95 %,Min. 00:0094 %,Max. 09:5596 %,"1024,5 hPa","Min. 22:251019,5 hPa","Max. 00:001029,6 hPa","8,6 l/m²","Max. 03:000,2 l/m²","1,0 km/h (0 Bft)","Max. 16:153,4 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"0,6 °C","Max. 13:101,5 °C","Min. 04:55-0,2 °C","1,3 °C","Max. 13:302,2 °C","Min. 05:150,6 °C","4,9 km/h (1 Bft)","Max. 14:1516,1 km/h (3 Bft)"
26,27.01.2015,"2,9 °C","Min. 08:101,3 °C","Max. 12:254,7 °C",93 %,Min. 14:5085 %,Max. 00:0096 %,"1022,6 hPa","Min. 00:001020,1 hPa","Max. 11:101023,8 hPa","3,8 l/m²","Max. 20:500,4 l/m²","0,5 km/h (0 Bft)","Max. 14:506,4 km/h (2 Bft)",S-SW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"1,8 °C","Max. 12:203,9 °C","Min. 08:150,7 °C","2,9 °C","Max. 12:254,7 °C","Min. 08:151,3 °C","3,0 km/h (1 Bft)","Max. 14:0517,7 km/h (3 Bft)"
27,28.01.2015,"3,7 °C","Min. 03:302,5 °C","Max. 19:055,5 °C",90 %,Min. 18:0579 %,Max. 01:1595 %,"1013,7 hPa","Min. 22:251000,4 hPa","Max. 00:001023,3 hPa","2,4 l/m²","Max. 22:550,4 l/m²","3,0 km/h (1 Bft)","Max. 23:059,8 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"2,2 °C","Max. 22:403,5 °C","Min. 10:301,5 °C","3,6 °C","Max. 19:105,5 °C","Min. 23:051,3 °C","10,8 km/h (2 Bft)","Max. 16:2529,0 km/h (5 Bft)"
28,29.01.2015,"2,9 °C","Min. 06:10-0,1 °C","Max. 11:554,6 °C",92 %,Min. 11:5080 %,Max. 23:0095 %,"991,8 hPa","Min. 23:55974,8 hPa","Max. 01:051001,8 hPa","3,2 l/m²","Max. 02:350,2 l/m²","2,1 km/h (1 Bft)","Max. 12:258,5 km/h (2 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"1,7 °C","Max. 16:553,3 °C","Min. 06:10-0,9 °C","2,9 °C","Max. 11:504,5 °C","Min. 06:10-0,1 °C","8,1 km/h (2 Bft)","Max. 12:2525,7 km/h (4 Bft)"
29,30.01.2015,"2,0 °C","Min. 22:350,8 °C","Max. 00:154,1 °C",92 %,Min. 09:2086 %,Max. 00:0095 %,"978,4 hPa","Min. 01:50973,4 hPa","Max. 09:50981,3 hPa","3,0 l/m²","Max. 04:050,4 l/m²","1,6 km/h (1 Bft)","Max. 04:007,1 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"0,8 °C","Max. 00:253,4 °C","Min. 09:20-0,9 °C","2,0 °C","Max. 00:254,1 °C","Min. 22:400,8 °C","7,1 km/h (2 Bft)","Max. 04:0022,5 km/h (4 Bft)"
