,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
21,22.01.2013,"1,1 °C","Min. 03:050,6 °C","Max. 15:152,1 °C",94 %,Min. 00:4587 %,Max. 07:5095 %,"1003,8 hPa","Min. 00:55999,9 hPa","Max. 22:251006,6 hPa","3,4 l/m²","Max. 01:150,2 l/m²","0,2 km/h (0 Bft)","Max. 01:102,9 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"0,2 °C","Max. 15:201,4 °C","Min. 00:00-0,8 °C","1,1 °C","Max. 15:202,1 °C","Min. 03:100,6 °C","1,5 km/h (1 Bft)","Max. 01:1011,3 km/h (2 Bft)"
22,23.01.2013,"0,2 °C","Min. 22:55-0,4 °C","Max. 14:001,1 °C",93 %,Min. 14:3090 %,Max. 02:1095 %,"1007,7 hPa","Min. 02:101006,4 hPa","Max. 22:251009,1 hPa","1,2 l/m²","Max. 11:550,2 l/m²","0,5 km/h (0 Bft)","Max. 11:003,3 km/h (1 Bft)",N-NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-0,7 °C","Max. 00:100,0 °C","Min. 23:05-1,7 °C","0,2 °C","Max. 14:001,1 °C","Min. 22:55-0,4 °C","3,4 km/h (1 Bft)","Max. 03:308,0 km/h (2 Bft)"
23,24.01.2013,"-2,1 °C","Min. 10:30-3,6 °C","Max. 00:00-0,4 °C",87 %,Min. 13:2583 %,Max. 00:0091 %,"1012,3 hPa","Min. 01:301008,5 hPa","Max. 23:501018,0 hPa","0,0 l/m²","Max. 00:000,0 l/m²","1,2 km/h (1 Bft)","Max. 14:104,7 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-4,0 °C","Max. 00:00-1,7 °C","Min. 13:25-5,6 °C","-2,1 °C","Max. 00:00-0,4 °C","Min. 10:30-3,6 °C","5,9 km/h (2 Bft)","Max. 14:0016,1 km/h (3 Bft)"
24,25.01.2013,"-1,9 °C","Min. 02:50-3,1 °C","Max. 13:15-1,1 °C",84 %,Min. 19:2077 %,Max. 02:5589 %,"1018,8 hPa","Min. 23:551016,0 hPa","Max. 11:101020,3 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,4 km/h (0 Bft)","Max. 23:352,8 km/h (1 Bft)",N-NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-4,2 °C","Max. 10:00-3,3 °C","Min. 19:50-5,4 °C","-1,9 °C","Max. 13:15-1,1 °C","Min. 02:50-3,1 °C","2,7 km/h (1 Bft)","Max. 22:1511,3 km/h (2 Bft)"
25,26.01.2013,"-1,6 °C","Min. 06:45-3,8 °C","Max. 14:100,4 °C",77 %,Min. 13:4067 %,Max. 23:5587 %,"1014,7 hPa","Min. 03:451013,2 hPa","Max. 23:101016,6 hPa","0,2 l/m²","Max. 19:150,2 l/m²","1,9 km/h (1 Bft)","Max. 09:356,8 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-5,0 °C","Max. 23:55-2,1 °C","Min. 06:45-6,4 °C","-1,6 °C","Max. 14:100,4 °C","Min. 06:45-3,8 °C","7,7 km/h (2 Bft)","Max. 11:2022,5 km/h (4 Bft)"
26,27.01.2013,"2,0 °C","Min. 00:00-0,2 °C","Max. 13:054,5 °C",87 %,Min. 13:2576 %,Max. 21:1094 %,"1010,5 hPa","Min. 16:551006,4 hPa","Max. 00:051016,3 hPa","3,6 l/m²","Max. 12:250,2 l/m²","1,5 km/h (1 Bft)","Max. 14:106,8 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"0,1 °C","Max. 23:002,3 °C","Min. 00:00-2,1 °C","2,0 °C","Max. 13:054,5 °C","Min. 00:00-0,2 °C","6,2 km/h (2 Bft)","Max. 12:1022,5 km/h (4 Bft)"
27,28.01.2013,"4,4 °C","Min. 04:402,2 °C","Max. 13:508,3 °C",89 %,Min. 13:5578 %,Max. 01:1595 %,"1015,7 hPa","Min. 00:001009,5 hPa","Max. 19:101019,6 hPa","0,2 l/m²","Max. 08:000,2 l/m²","1,3 km/h (1 Bft)","Max. 16:154,8 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"2,8 °C","Max. 13:005,1 °C","Min. 04:251,4 °C","4,4 °C","Max. 13:508,3 °C","Min. 04:402,2 °C","5,4 km/h (2 Bft)","Max. 13:2517,7 km/h (3 Bft)"
28,29.01.2013,"7,3 °C","Min. 00:004,8 °C","Max. 23:509,3 °C",89 %,Min. 02:5578 %,Max. 09:4594 %,"1015,7 hPa","Min. 12:051014,7 hPa","Max. 00:001018,1 hPa","1,8 l/m²","Max. 08:150,2 l/m²","4,1 km/h (1 Bft)","Max. 05:009,7 km/h (2 Bft)",S-SW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"5,6 °C","Max. 23:507,9 °C","Min. 01:252,2 °C","7,3 °C","Max. 23:509,3 °C","Min. 05:003,8 °C","13,8 km/h (3 Bft)","Max. 06:0532,2 km/h (5 Bft)"
29,30.01.2013,"11,6 °C","Min. 23:508,8 °C","Max. 12:4015,0 °C",83 %,Min. 21:2571 %,Max. 01:5592 %,"1013,5 hPa","Min. 15:301009,5 hPa","Max. 23:551018,7 hPa","0,6 l/m²","Max. 07:300,2 l/m²","4,9 km/h (1 Bft)","Max. 13:3510,3 km/h (2 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"8,9 °C","Max. 17:0011,1 °C","Min. 23:554,0 °C","11,4 °C","Max. 12:4515,0 °C","Min. 23:508,8 °C","16,4 km/h (3 Bft)","Max. 13:3533,8 km/h (5 Bft)"
30,31.01.2013,"8,9 °C","Min. 07:306,8 °C","Max. 14:3011,9 °C",72 %,Min. 14:2556 %,Max. 21:0580 %,"1018,2 hPa","Min. 15:451014,5 hPa","Max. 07:401021,8 hPa","0,0 l/m²","Max. 00:000,0 l/m²","4,3 km/h (1 Bft)","Max. 14:2512,2 km/h (2 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"4,1 °C","Max. 20:455,8 °C","Min. 06:302,9 °C","8,6 °C","Max. 15:1011,6 °C","Min. 07:356,8 °C","15,2 km/h (3 Bft)","Max. 14:4533,8 km/h (5 Bft)"
31,01.02.2013,"7,5 °C","Min. 16:556,4 °C","Max. 00:109,0 °C",87 %,Min. 00:4073 %,Max. 18:4595 %,"1004,6 hPa","Min. 23:55991,0 hPa","Max. 00:001016,3 hPa","11,4 l/m²","Max. 09:100,2 l/m²","1,5 km/h (1 Bft)","Max. 13:406,3 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"5,5 °C","Max. 20:407,0 °C","Min. 03:003,9 °C","7,5 °C","Max. 00:109,0 °C","Min. 16:556,4 °C","6,5 km/h (2 Bft)","Max. 00:0524,1 km/h (4 Bft)"
